Mental Health Disorder Group,ICD10_Code,Description
Substance-Related and Addictive Disorders,F13159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F13180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,F13181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F13182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,F13188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1319,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1320,"Sedative, hypnotic or anxiolytic dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1321,"Sedative, hypnotic or anxiolytic dependence, in remission"
Substance-Related and Addictive Disorders,F13220,"Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F13221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
Substance-Related and Addictive Disorders,F13229,"Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F13230,"Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,F13231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
Substance-Related and Addictive Disorders,F13232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
Substance-Related and Addictive Disorders,F13239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,F1324,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,F13250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F13251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F13259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1326,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,F1327,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
Substance-Related and Addictive Disorders,F13280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,F13281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F13282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,F13288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1329,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1390,"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F13920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F13921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F13929,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F13930,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,F13931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
Substance-Related and Addictive Disorders,F13932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
Substance-Related and Addictive Disorders,F13939,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified"
Substance-Related and Addictive Disorders,F1394,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,F13950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F13951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F13959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1396,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,F1397,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
Substance-Related and Addictive Disorders,F13980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,F13981,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F13982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,F13988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1399,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,F1410,"Cocaine abuse, uncomplicated"
Substance-Related and Addictive Disorders,F14120,"Cocaine abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F14121,Cocaine abuse with intoxication with delirium
Substance-Related and Addictive Disorders,F14122,Cocaine abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F14129,"Cocaine abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1414,Cocaine abuse with cocaine-induced mood disorder
Substance-Related and Addictive Disorders,F14150,Cocaine abuse with cocaine-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F14151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F14159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F14180,Cocaine abuse with cocaine-induced anxiety disorder
Substance-Related and Addictive Disorders,F14181,Cocaine abuse with cocaine-induced sexual dysfunction
Substance-Related and Addictive Disorders,F14182,Cocaine abuse with cocaine-induced sleep disorder
Substance-Related and Addictive Disorders,F14188,Cocaine abuse with other cocaine-induced disorder
Substance-Related and Addictive Disorders,F1419,Cocaine abuse with unspecified cocaine-induced disorder
Substance-Related and Addictive Disorders,F1420,"Cocaine dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1421,"Cocaine dependence, in remission"
Substance-Related and Addictive Disorders,F14220,"Cocaine dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F14221,Cocaine dependence with intoxication delirium
Substance-Related and Addictive Disorders,F14222,Cocaine dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F14229,"Cocaine dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1423,Cocaine dependence with withdrawal
Substance-Related and Addictive Disorders,F1424,Cocaine dependence with cocaine-induced mood disorder
Substance-Related and Addictive Disorders,F14250,Cocaine dependence with cocaine-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F14251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F14259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F14280,Cocaine dependence with cocaine-induced anxiety disorder
Substance-Related and Addictive Disorders,F14281,Cocaine dependence with cocaine-induced sexual dysfunction
Substance-Related and Addictive Disorders,F14282,Cocaine dependence with cocaine-induced sleep disorder
Substance-Related and Addictive Disorders,F14288,Cocaine dependence with other cocaine-induced disorder
Substance-Related and Addictive Disorders,F1429,Cocaine dependence with unspecified cocaine-induced disorder
Substance-Related and Addictive Disorders,F1490,"Cocaine use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F14920,"Cocaine use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F14921,"Cocaine use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F14922,"Cocaine use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,F14929,"Cocaine use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1494,"Cocaine use, unspecified with cocaine-induced mood disorder"
Substance-Related and Addictive Disorders,F14950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F14951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F14959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F14980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
Substance-Related and Addictive Disorders,F14981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F14982,"Cocaine use, unspecified with cocaine-induced sleep disorder"
Substance-Related and Addictive Disorders,F14988,"Cocaine use, unspecified with other cocaine-induced disorder"
Substance-Related and Addictive Disorders,F1499,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
Substance-Related and Addictive Disorders,F1510,"Other stimulant abuse, uncomplicated"
Substance-Related and Addictive Disorders,F15120,"Other stimulant abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F15121,Other stimulant abuse with intoxication delirium
Substance-Related and Addictive Disorders,F15122,Other stimulant abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F15129,"Other stimulant abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1514,Other stimulant abuse with stimulant-induced mood disorder
Substance-Related and Addictive Disorders,F15150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F15151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F15159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F15180,Other stimulant abuse with stimulant-induced anxiety disorder
Substance-Related and Addictive Disorders,F15181,Other stimulant abuse with stimulant-induced sexual dysfunction
Substance-Related and Addictive Disorders,F15182,Other stimulant abuse with stimulant-induced sleep disorder
Substance-Related and Addictive Disorders,F15188,Other stimulant abuse with other stimulant-induced disorder
Substance-Related and Addictive Disorders,F1519,Other stimulant abuse with unspecified stimulant-induced disorder
Substance-Related and Addictive Disorders,F1520,"Other stimulant dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1521,"Other stimulant dependence, in remission"
Substance-Related and Addictive Disorders,F15220,"Other stimulant dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F15221,Other stimulant dependence with intoxication delirium
Substance-Related and Addictive Disorders,F15222,Other stimulant dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F15229,"Other stimulant dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1523,Other stimulant dependence with withdrawal
Substance-Related and Addictive Disorders,F1524,Other stimulant dependence with stimulant-induced mood disorder
Substance-Related and Addictive Disorders,F15250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F15251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F15259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F15280,Other stimulant dependence with stimulant-induced anxiety disorder
Substance-Related and Addictive Disorders,F15281,Other stimulant dependence with stimulant-induced sexual dysfunction
Substance-Related and Addictive Disorders,F15282,Other stimulant dependence with stimulant-induced sleep disorder
Substance-Related and Addictive Disorders,F15288,Other stimulant dependence with other stimulant-induced disorder
Substance-Related and Addictive Disorders,F1529,Other stimulant dependence with unspecified stimulant-induced disorder
Substance-Related and Addictive Disorders,F1590,"Other stimulant use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F15920,"Other stimulant use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F15921,"Other stimulant use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F15922,"Other stimulant use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,F15929,"Other stimulant use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1593,"Other stimulant use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,F1594,"Other stimulant use, unspecified with stimulant-induced mood disorder"
Substance-Related and Addictive Disorders,F15950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F15951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F15959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F15980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
Substance-Related and Addictive Disorders,F15981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F15982,"Other stimulant use, unspecified with stimulant-induced sleep disorder"
Substance-Related and Addictive Disorders,F15988,"Other stimulant use, unspecified with other stimulant-induced disorder"
Substance-Related and Addictive Disorders,F1599,"Other stimulant use, unspecified with unspecified stimulant-induced disorder"
Substance-Related and Addictive Disorders,F1610,"Hallucinogen abuse, uncomplicated"
Substance-Related and Addictive Disorders,F16120,"Hallucinogen abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F16121,Hallucinogen abuse with intoxication with delirium
Substance-Related and Addictive Disorders,F16122,Hallucinogen abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F16129,"Hallucinogen abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1614,Hallucinogen abuse with hallucinogen-induced mood disorder
Substance-Related and Addictive Disorders,F16150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F16151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F16159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F16180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
Substance-Related and Addictive Disorders,F16183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
Substance-Related and Addictive Disorders,F16188,Hallucinogen abuse with other hallucinogen-induced disorder
Substance-Related and Addictive Disorders,F1619,Hallucinogen abuse with unspecified hallucinogen-induced disorder
Substance-Related and Addictive Disorders,F1620,"Hallucinogen dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1621,"Hallucinogen dependence, in remission"
Substance-Related and Addictive Disorders,F16220,"Hallucinogen dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F16221,Hallucinogen dependence with intoxication with delirium
Substance-Related and Addictive Disorders,F16229,"Hallucinogen dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1624,Hallucinogen dependence with hallucinogen-induced mood disorder
Substance-Related and Addictive Disorders,F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder
Substance-Related and Addictive Disorders,F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)
Substance-Related and Addictive Disorders,F16288,Hallucinogen dependence with other hallucinogen-induced disorder
Substance-Related and Addictive Disorders,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder
Substance-Related and Addictive Disorders,F1690,"Hallucinogen use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F16920,"Hallucinogen use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F16921,"Hallucinogen use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,F16929,"Hallucinogen use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
Substance-Related and Addictive Disorders,F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
Substance-Related and Addictive Disorders,F16983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
Substance-Related and Addictive Disorders,F16988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder"
Substance-Related and Addictive Disorders,F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
Substance-Related and Addictive Disorders,F17200,"Nicotine dependence, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F17201,"Nicotine dependence, unspecified, in remission"
Substance-Related and Addictive Disorders,F17203,"Nicotine dependence unspecified, with withdrawal"
Substance-Related and Addictive Disorders,F17208,"Nicotine dependence, unspecified, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17209,"Nicotine dependence, unspecified, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17210,"Nicotine dependence, cigarettes, uncomplicated"
Substance-Related and Addictive Disorders,F17211,"Nicotine dependence, cigarettes, in remission"
Substance-Related and Addictive Disorders,F17213,"Nicotine dependence, cigarettes, with withdrawal"
Substance-Related and Addictive Disorders,F17218,"Nicotine dependence, cigarettes, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17219,"Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17220,"Nicotine dependence, chewing tobacco, uncomplicated"
Substance-Related and Addictive Disorders,F17221,"Nicotine dependence, chewing tobacco, in remission"
Substance-Related and Addictive Disorders,F17223,"Nicotine dependence, chewing tobacco, with withdrawal"
Substance-Related and Addictive Disorders,F17228,"Nicotine dependence, chewing tobacco, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17229,"Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17290,"Nicotine dependence, other tobacco product, uncomplicated"
Substance-Related and Addictive Disorders,F17291,"Nicotine dependence, other tobacco product, in remission"
Substance-Related and Addictive Disorders,F17293,"Nicotine dependence, other tobacco product, with withdrawal"
Substance-Related and Addictive Disorders,F17298,"Nicotine dependence, other tobacco product, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,F17299,"Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,F1810,"Inhalant abuse, uncomplicated"
Substance-Related and Addictive Disorders,F18120,"Inhalant abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F18121,Inhalant abuse with intoxication delirium
Substance-Related and Addictive Disorders,F18129,"Inhalant abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1814,Inhalant abuse with inhalant-induced mood disorder
Substance-Related and Addictive Disorders,F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1817,Inhalant abuse with inhalant-induced dementia
Substance-Related and Addictive Disorders,F18180,Inhalant abuse with inhalant-induced anxiety disorder
Substance-Related and Addictive Disorders,F18188,Inhalant abuse with other inhalant-induced disorder
Substance-Related and Addictive Disorders,F1819,Inhalant abuse with unspecified inhalant-induced disorder
Substance-Related and Addictive Disorders,F1820,"Inhalant dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1821,"Inhalant dependence, in remission"
Substance-Related and Addictive Disorders,F18220,"Inhalant dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F18221,Inhalant dependence with intoxication delirium
Substance-Related and Addictive Disorders,F18229,"Inhalant dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1824,Inhalant dependence with inhalant-induced mood disorder
Substance-Related and Addictive Disorders,F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1827,Inhalant dependence with inhalant-induced dementia
Substance-Related and Addictive Disorders,F18280,Inhalant dependence with inhalant-induced anxiety disorder
Substance-Related and Addictive Disorders,F18288,Inhalant dependence with other inhalant-induced disorder
Substance-Related and Addictive Disorders,F1829,Inhalant dependence with unspecified inhalant-induced disorder
Substance-Related and Addictive Disorders,F1890,"Inhalant use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F18920,"Inhalant use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F18921,"Inhalant use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,F18929,"Inhalant use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1894,"Inhalant use, unspecified with inhalant-induced mood disorder"
Substance-Related and Addictive Disorders,F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia"
Substance-Related and Addictive Disorders,F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
Substance-Related and Addictive Disorders,F18988,"Inhalant use, unspecified with other inhalant-induced disorder"
Substance-Related and Addictive Disorders,F1899,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
Substance-Related and Addictive Disorders,F1910,"Other psychoactive substance abuse, uncomplicated"
Substance-Related and Addictive Disorders,F19120,"Other psychoactive substance abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F19121,Other psychoactive substance abuse with intoxication delirium
Substance-Related and Addictive Disorders,F19122,Other psychoactive substance abuse with intoxication with perceptual disturbances
Substance-Related and Addictive Disorders,F19129,"Other psychoactive substance abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1914,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
Substance-Related and Addictive Disorders,F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
Substance-Related and Addictive Disorders,F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
Substance-Related and Addictive Disorders,F19181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction
Substance-Related and Addictive Disorders,F19182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder
Substance-Related and Addictive Disorders,F19188,Other psychoactive substance abuse with other psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,F1920,"Other psychoactive substance dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1921,"Other psychoactive substance dependence, in remission"
Substance-Related and Addictive Disorders,F19220,"Other psychoactive substance dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F19221,Other psychoactive substance dependence with intoxication delirium
Substance-Related and Addictive Disorders,F19222,Other psychoactive substance dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F19229,"Other psychoactive substance dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F19230,"Other psychoactive substance dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,F19231,Other psychoactive substance dependence with withdrawal delirium
Substance-Related and Addictive Disorders,F19232,Other psychoactive substance dependence with withdrawal with perceptual disturbance
Substance-Related and Addictive Disorders,F19239,"Other psychoactive substance dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
Substance-Related and Addictive Disorders,F19250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F19251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F19259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1926,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia
Substance-Related and Addictive Disorders,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
Substance-Related and Addictive Disorders,F19281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction
Substance-Related and Addictive Disorders,F19282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
Substance-Related and Addictive Disorders,F19288,Other psychoactive substance dependence with other psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,F1990,"Other psychoactive substance use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F19920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F19921,"Other psychoactive substance use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,F19922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,F19929,"Other psychoactive substance use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F19930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,F19931,"Other psychoactive substance use, unspecified with withdrawal delirium"
Substance-Related and Addictive Disorders,F19932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
Substance-Related and Addictive Disorders,F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified"
Substance-Related and Addictive Disorders,F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
Substance-Related and Addictive Disorders,F19950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F19951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F19959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1996,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
