Mental_Health_Disorder_Group,ICD10_Code,Description
Substance-Related and Addictive Disorders,ICD10:F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F11.151,Opioid abuse with opioid-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F11.159,"Opioid abuse with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.181,Opioid abuse with opioid-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F11.182,Opioid abuse with opioid-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F11.188,Opioid abuse with other opioid-induced disorder
Substance-Related and Addictive Disorders,ICD10:F11.19,Opioid abuse with unspecified opioid-induced disorder
Substance-Related and Addictive Disorders,ICD10:F11.20,"Opioid dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.21,"Opioid dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F11.220,"Opioid dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.221,Opioid dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F11.222,Opioid dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F11.229,"Opioid dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.23,Opioid dependence with withdrawal
Substance-Related and Addictive Disorders,ICD10:F11.24,Opioid dependence with opioid-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F11.250,Opioid dependence with opioid-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F11.251,Opioid dependence with opioid-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.281,Opioid dependence with opioid-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F11.282,Opioid dependence with opioid-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F11.288,Opioid dependence with other opioid-induced disorder
Substance-Related and Addictive Disorders,ICD10:F11.29,Opioid dependence with unspecified opioid-induced disorder
Substance-Related and Addictive Disorders,ICD10:F11.90,"Opioid use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.920,"Opioid use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.921,"Opioid use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F11.929,"Opioid use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.93,"Opioid use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F11.94,"Opioid use, unspecified with opioid-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F11.950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F11.951,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F11.959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.981,"Opioid use, unspecified with opioid-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F11.982,"Opioid use, unspecified with opioid-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F11.988,"Opioid use, unspecified with other opioid-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F12.10,"Cannabis abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.120,"Cannabis abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.121,Cannabis abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F12.122,Cannabis abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F12.129,"Cannabis abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.150,Cannabis abuse with psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F12.151,Cannabis abuse with psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F12.159,"Cannabis abuse with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.180,Cannabis abuse with cannabis-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F12.188,Cannabis abuse with other cannabis-induced disorder
Substance-Related and Addictive Disorders,ICD10:F12.19,Cannabis abuse with unspecified cannabis-induced disorder
Substance-Related and Addictive Disorders,ICD10:F12.20,"Cannabis dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.21,"Cannabis dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F12.220,"Cannabis dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.221,Cannabis dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F12.222,Cannabis dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F12.229,"Cannabis dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.23,Cannabis dependence with withdrawal
Substance-Related and Addictive Disorders,ICD10:F12.250,Cannabis dependence with psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F12.251,Cannabis dependence with psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F12.259,"Cannabis dependence with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.280,Cannabis dependence with cannabis-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F12.288,Cannabis dependence with other cannabis-induced disorder
Substance-Related and Addictive Disorders,ICD10:F12.29,Cannabis dependence with unspecified cannabis-induced disorder
Substance-Related and Addictive Disorders,ICD10:F12.90,"Cannabis use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.920,"Cannabis use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F12.921,"Cannabis use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F12.929,"Cannabis use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.93,"Cannabis use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F12.950,"Cannabis use, unspecified with psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F12.951,"Cannabis use, unspecified with psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F12.959,"Cannabis use, unspecified with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F12.980,"Cannabis use, unspecified with anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F12.988,"Cannabis use, unspecified with other cannabis-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F12.99,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.10,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.120,"Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F13.129,"Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F13.150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F13.151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F13.159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F13.181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F13.182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F13.188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.19,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.20,"Sedative, hypnotic or anxiolytic dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.21,"Sedative, hypnotic or anxiolytic dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F13.220,"Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F13.229,"Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.230,"Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
Substance-Related and Addictive Disorders,ICD10:F13.232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.24,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F13.250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F13.251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F13.259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.26,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,ICD10:F13.27,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
Substance-Related and Addictive Disorders,ICD10:F13.280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F13.281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F13.282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F13.288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.29,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.90,"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F13.929,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.930,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F13.931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
Substance-Related and Addictive Disorders,ICD10:F13.932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
Substance-Related and Addictive Disorders,ICD10:F13.939,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.94,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F13.950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F13.951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F13.959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F13.96,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,ICD10:F13.97,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
Substance-Related and Addictive Disorders,ICD10:F13.980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F13.981,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F13.982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F13.988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F13.99,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F14.10,"Cocaine abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.120,"Cocaine abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.121,Cocaine abuse with intoxication with delirium
Substance-Related and Addictive Disorders,ICD10:F14.122,Cocaine abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F14.129,"Cocaine abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.14,Cocaine abuse with cocaine-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F14.151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F14.159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.180,Cocaine abuse with cocaine-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F14.181,Cocaine abuse with cocaine-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F14.182,Cocaine abuse with cocaine-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F14.188,Cocaine abuse with other cocaine-induced disorder
Substance-Related and Addictive Disorders,ICD10:F14.19,Cocaine abuse with unspecified cocaine-induced disorder
Substance-Related and Addictive Disorders,ICD10:F14.20,"Cocaine dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.21,"Cocaine dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F14.220,"Cocaine dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.221,Cocaine dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F14.222,Cocaine dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F14.229,"Cocaine dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.23,Cocaine dependence with withdrawal
Substance-Related and Addictive Disorders,ICD10:F14.24,Cocaine dependence with cocaine-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F14.250,Cocaine dependence with cocaine-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F14.251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F14.259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.280,Cocaine dependence with cocaine-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F14.281,Cocaine dependence with cocaine-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F14.282,Cocaine dependence with cocaine-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F14.288,Cocaine dependence with other cocaine-induced disorder
Substance-Related and Addictive Disorders,ICD10:F14.29,Cocaine dependence with unspecified cocaine-induced disorder
Substance-Related and Addictive Disorders,ICD10:F14.90,"Cocaine use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.920,"Cocaine use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F14.921,"Cocaine use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F14.922,"Cocaine use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F14.929,"Cocaine use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F14.950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F14.951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F14.959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F14.981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F14.982,"Cocaine use, unspecified with cocaine-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F14.988,"Cocaine use, unspecified with other cocaine-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F14.99,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F15.10,"Other stimulant abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.120,"Other stimulant abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.121,Other stimulant abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F15.122,Other stimulant abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F15.129,"Other stimulant abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.14,Other stimulant abuse with stimulant-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F15.151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F15.159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F15.181,Other stimulant abuse with stimulant-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F15.182,Other stimulant abuse with stimulant-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F15.188,Other stimulant abuse with other stimulant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F15.19,Other stimulant abuse with unspecified stimulant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F15.20,"Other stimulant dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.21,"Other stimulant dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F15.220,"Other stimulant dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.221,Other stimulant dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F15.222,Other stimulant dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F15.229,"Other stimulant dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.23,Other stimulant dependence with withdrawal
Substance-Related and Addictive Disorders,ICD10:F15.24,Other stimulant dependence with stimulant-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F15.250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F15.251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F15.259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.280,Other stimulant dependence with stimulant-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F15.281,Other stimulant dependence with stimulant-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F15.282,Other stimulant dependence with stimulant-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F15.288,Other stimulant dependence with other stimulant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F15.29,Other stimulant dependence with unspecified stimulant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F15.90,"Other stimulant use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.920,"Other stimulant use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F15.921,"Other stimulant use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F15.922,"Other stimulant use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F15.929,"Other stimulant use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.93,"Other stimulant use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F15.94,"Other stimulant use, unspecified with stimulant-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F15.950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F15.951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F15.959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F15.981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F15.982,"Other stimulant use, unspecified with stimulant-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F15.988,"Other stimulant use, unspecified with other stimulant-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F15.99,"Other stimulant use, unspecified with unspecified stimulant-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F16.10,"Hallucinogen abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.120,"Hallucinogen abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.121,Hallucinogen abuse with intoxication with delirium
Substance-Related and Addictive Disorders,ICD10:F16.122,Hallucinogen abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F16.129,"Hallucinogen abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.14,Hallucinogen abuse with hallucinogen-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F16.150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F16.159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F16.183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
Substance-Related and Addictive Disorders,ICD10:F16.188,Hallucinogen abuse with other hallucinogen-induced disorder
Substance-Related and Addictive Disorders,ICD10:F16.19,Hallucinogen abuse with unspecified hallucinogen-induced disorder
Substance-Related and Addictive Disorders,ICD10:F16.20,"Hallucinogen dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.21,"Hallucinogen dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F16.220,"Hallucinogen dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.221,Hallucinogen dependence with intoxication with delirium
Substance-Related and Addictive Disorders,ICD10:F16.229,"Hallucinogen dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.24,Hallucinogen dependence with hallucinogen-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F16.250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F16.251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F16.259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.280,Hallucinogen dependence with hallucinogen-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F16.283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)
Substance-Related and Addictive Disorders,ICD10:F16.288,Hallucinogen dependence with other hallucinogen-induced disorder
Substance-Related and Addictive Disorders,ICD10:F16.29,Hallucinogen dependence with unspecified hallucinogen-induced disorder
Substance-Related and Addictive Disorders,ICD10:F16.90,"Hallucinogen use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.920,"Hallucinogen use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F16.921,"Hallucinogen use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,ICD10:F16.929,"Hallucinogen use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.94,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F16.950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F16.951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F16.959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F16.983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
Substance-Related and Addictive Disorders,ICD10:F16.988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F16.99,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F17.200,"Nicotine dependence, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F17.201,"Nicotine dependence, unspecified, in remission"
Substance-Related and Addictive Disorders,ICD10:F17.203,"Nicotine dependence unspecified, with withdrawal"
